field/0/_name,field/0/__text,field/1/_name,field/1/__text,field/2/_name,field/2/__text,field/3/_name,field/3/__text,field/4/_name,field/4/__text,field/5/_name,field/5/__text,field/6/_name,field/6/__text
Country or Area,Djibouti,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,26,Value Footnotes,
Country or Area,Dominican Republic,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,216,Value Footnotes,
Country or Area,East Asia and Pacific,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,28448,Value Footnotes,1
Country or Area,Eastern and Southern Africa,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,14399,Value Footnotes,1
Country or Area,Ecuador,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,298,Value Footnotes,
Country or Area,Egypt,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1886,Value Footnotes,
Country or Area,El Salvador,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,126,Value Footnotes,
Country or Area,Equatorial Guinea,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,26,Value Footnotes,
Country or Area,Eritrea,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,193,Value Footnotes,
Country or Area,Estonia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,16,Value Footnotes,
Country or Area,Ethiopia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,2613,Value Footnotes,
Country or Area,Fiji,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,18,Value Footnotes,
Country or Area,Finland,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,61,Value Footnotes,
Country or Area,France,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,792,Value Footnotes,
Country or Area,Gabon,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,42,Value Footnotes,
Country or Area,Gambia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,67,Value Footnotes,
Country or Area,Georgia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,51,Value Footnotes,
Country or Area,Germany,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,699,Value Footnotes,
Country or Area,Ghana,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,776,Value Footnotes,
Country or Area,Greece,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,117,Value Footnotes,
Country or Area,Grenada,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,2,Value Footnotes,
Country or Area,Guatemala,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,473,Value Footnotes,
Country or Area,Guinea,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,394,Value Footnotes,
Country or Area,Guinea-Bissau,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,59,Value Footnotes,
Country or Area,Guyana,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,13,Value Footnotes,
Country or Area,Haiti,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,266,Value Footnotes,
Country or Area,Honduras,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,205,Value Footnotes,
Country or Area,Hungary,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,100,Value Footnotes,
Country or Area,Iceland,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,5,Value Footnotes,
Country or Area,India,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,27098,Value Footnotes,
Country or Area,Indonesia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,4331,Value Footnotes,
Country or Area,Iran (Islamic Republic of),Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1255,Value Footnotes,
Country or Area,Iraq,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1144,Value Footnotes,
Country or Area,Ireland,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,72,Value Footnotes,
Country or Area,Israel,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,156,Value Footnotes,
Country or Area,Italy,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,557,Value Footnotes,
Country or Area,Jamaica,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,50,Value Footnotes,
Country or Area,Japan,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1073,Value Footnotes,
Country or Area,Jordan,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,154,Value Footnotes,
Country or Area,Kazakhstan,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,345,Value Footnotes,
Country or Area,Kenya,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,1560,Value Footnotes,
Country or Area,Kuwait,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,50,Value Footnotes,
Country or Area,Kyrgyzstan,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,131,Value Footnotes,
Country or Area,Lao People's Democratic Republic,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,140,Value Footnotes,
Country or Area,Latin America and Caribbean,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,10790,Value Footnotes,1
Country or Area,Latvia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,24,Value Footnotes,
Country or Area,Least Developed Countries/Territories,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,28334,Value Footnotes,1
Country or Area,Lebanon,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,65,Value Footnotes,
Country or Area,Lesotho,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,60,Value Footnotes,
Country or Area,Liberia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,157,Value Footnotes,
Country or Area,Libya,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,144,Value Footnotes,
Country or Area,Lithuania,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,35,Value Footnotes,
Country or Area,Luxembourg,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,6,Value Footnotes,
Country or Area,Madagascar,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,747,Value Footnotes,
Country or Area,Malawi,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,686,Value Footnotes,
Country or Area,Malaysia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,579,Value Footnotes,
Country or Area,Maldives,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,5,Value Footnotes,
Country or Area,Mali,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,728,Value Footnotes,
Country or Area,Malta,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,4,Value Footnotes,
Country or Area,Mauritania,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,118,Value Footnotes,
Country or Area,Mauritius,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,16,Value Footnotes,
Country or Area,Mexico,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,2195,Value Footnotes,
Country or Area,Micronesia (Federated States of),Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,3,Value Footnotes,
Country or Area,Middle East and North Africa,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,10017,Value Footnotes,1
Country or Area,Mongolia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,65,Value Footnotes,
Country or Area,Montenegro,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,8,Value Footnotes,
Country or Area,Morocco,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,620,Value Footnotes,
Country or Area,Mozambique,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,889,Value Footnotes,
Country or Area,Myanmar,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,824,Value Footnotes,
Country or Area,Namibia,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,60,Value Footnotes,
Country or Area,Nepal,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,722,Value Footnotes,
Country or Area,Netherlands,Subgroup,Total,Year,2011,Source,UN_United Nations Population Division,Unit,Thousand,Value,181,Value Footnotes,
